[0117/150348.818:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0117/152208.079:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/121717.062:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/131144.209:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/131146.130:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/131907.691:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/134431.707:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/134435.340:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/134436.435:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/134444.618:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/134446.347:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/141407.480:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/144526.329:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/144538.699:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/145121.751:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/150524.912:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/150950.551:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/151729.248:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/152012.585:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/152013.372:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/152026.701:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/152043.164:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/152233.843:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/152827.522:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154111.205:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154115.812:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154120.630:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154126.764:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154158.744:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154230.226:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154244.288:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154248.535:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154312.769:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154314.782:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154335.290:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154529.587:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154625.097:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154645.710:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154654.865:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/154801.520:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/155308.732:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/155316.638:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/155318.408:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/155328.531:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/155852.953:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0120/155911.694:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
